placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,city,MultiPolygon,"""Saginaw is a small city in Tarrant County, Texas, United States, and an Inner suburb of Fort Worth.""","Saginaw, Texas","Fort Worth, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""Richardson is an inner suburb of the city of Dallas.""","Richardson, Texas","Dallas, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""Haltom City is an inner suburb of Fort Worth, a principal city of the DFW Metroplex.""","Haltom City, Texas","Fort Worth, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""White Settlement is a city in Tarrant County, Texas, United States, and a northwestern suburb of Fort Worth.""","White Settlement, Texas","Fort Worth, Texas",suburb of,touches,is suburb of
town,MultiPolygon,city,MultiPolygon,suburb of,"West Allis,wisconsin","milwaukee,wisconsin",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,suburb of,"Monona,wisconsin","madison,wisconsin",suburb of,touches,is suburb of
city,MultiPolygon,city,MultiPolygon,suburb of,"Middleton,wisconsin","madison,wisconsin",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""It is a suburb of Dallas and a bedroom community in the Dallas‚ÄìFort Worth metroplex.""","Coppell, Texas","Dallas, Texas",suburb of,touches,is suburb of
city,Polygon,city,Polygon,suburb of,"Glendale,wisconsin","milwaukee city,wisconsin",suburb of,touches,is suburb of
town,Polygon,city,MultiPolygon,suburb of,"Fitchburg,wisconsin","madison,wisconsin",suburb of,touches,is suburb of
town,Polygon,city,MultiPolygon,suburb,"Sun Prairie,wisconsin","madison,wisconsin",suburb of,touches,is suburb of
city,Polygon,city,Polygon,"""It is a suburb of Brownwood, and the population was 2,762 at the 2010 census.""","Early, Texas","Brownwood, Texas",suburb of,overlaps,is suburb of
city,Polygon,city,MultiPolygon,"""A wealthy suburb of the Dallas/Fort Worth area, Colleyville was originally a small farm town in the 19th century.""","Colleyville, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""A wealthy suburb of the Dallas/Fort Worth area, Colleyville was originally a small farm town in the 19th century.""","Colleyville, Texas","Dallas, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""It is a suburb of Dallas and Fort Worth.""","Bedford, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""It is a suburb of Dallas and Fort Worth.""","Bedford, Texas","Dallas, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""It is also an outer ring suburb of Fort Worth.""","Justin, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""It is a suburb of Fort Worth.""","Argyle, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
village,Polygon,city,MultiPolygon,"""It is a suburb of Austin.""","The Hills, Texas","Austin, Texas",suburb of,disjoint,is suburb of
county,Polygon,city,MultiPolygon,"""It is a suburb of Fort Worth.""","Burleson, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,Polygon,"""Robstown is a city in Nueces County, Texas, United States, and a western suburb of Corpus Christi.""","Robstown, Texas","Corpus Christi, Texas",suburb of,disjoint,is suburb of
town,MultiPolygon,city,MultiPolygon,"""The Colony is a city in Denton County, Texas, United States, and a suburb of Dallas.""","The Colony, Texas","Dallas, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,Polygon,"""Dalworthington Gardens is a city in Tarrant County, Texas, United States and a suburb of Arlington.""","Dalworthington Gardens, Texas","Arlington, Texas",suburb of,touches,is suburb of
city,Polygon,aeroway,Polygon,"""Southlake is a suburb of Dallas/Fort Worth.""","Southlake, Texas","Dallas/Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,Polygon,"""Portland is a suburb of Corpus Christi, located on the north shore of Nueces and Corpus Christi Bays.""","Portland, Texas","Corpus Christi, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""Forest Hill is a suburb of Fort Worth in Tarrant County, Texas, United States.""","Forest Hill, Texas","Fort Worth, Texas",suburb of,touches,is suburb of
city,Polygon,city,Polygon,"""Nash is a city in Bowie County, Texas, United States, and a suburb of Texarkana.""","Nash, Texas","Texarkana, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""It is an inner-ring suburb of Dallas and is part of the Dallas‚ÄìFort Worth metroplex.""","Farmers Branch, Texas","Dallas, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""It is a suburb of Austin, located just west of central Austin.""","West Lake Hills, Texas","Austin, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""Located in Dallas County, it is also an inner ring suburb of Dallas.""","Irving, Texas","Dallas, Texas",suburb of,touches,is suburb of
village,Polygon,city,Polygon,"""Wake Village is a city in Bowie County, Texas, United States, and a suburb of Texarkana, Texas.""","Wake Village, Texas","Texarkana, Texas",suburb of,touches,is suburb of
city,MultiPolygon,city,MultiPolygon,"""Cedar Park is a city and a major suburb of Austin in the state of Texas, approximately 16 miles (26 km) to the north-west of the center of Austin.""","Cedar Park, Texas","Austin, Texas",suburb of,touches,is suburb of
town,MultiPolygon,city,MultiPolygon,"""Pflugerville is a suburb of Austin and part of the Austin‚ÄìRound Rock‚ÄìSan Marcos Metropolitan Statistical Area.""","Pflugerville, Texas","Austin, Texas",suburb of,touches,is suburb of
city,Polygon,city,MultiPolygon,"""Watauga (/w…íÀàt…îÀê…°…ô/) is a city in Tarrant County, Texas, United States, and a suburb of Fort Worth.""","Watauga, Texas","Fort Worth, Texas",suburb of,touches,is suburb of
city,Polygon,city,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","North Richland Hills, Texas",surrounded by,touches,is surrounded by
town,Polygon,city,Polygon,"""It is surrounded by the cities of Chino, Ontario, Jurupa Valley, Norco, and Corona.""","Eastvale, California","Norco, California",surrounded by,touches,is surrounded by
town,Polygon,city,Polygon,"""It is surrounded by the cities of Chino, Ontario, Jurupa Valley, Norco, and Corona.""","Eastvale, California","Corona, California",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Bedford, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,MultiPolygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Fort Worth, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Richland Hills, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Colleyville, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""West University Place is surrounded by the cities of Bellaire, Houston, and Southside Place.""","West University Place, Texas","Southside Place, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""Sand City is a city in Monterey County, California, United States, located on the shores of Monterey Bay, and surrounded on most sides by the larger city of Seaside.""","Sand City, California","Seaside, California",surrounded by,touches,is surrounded by
city,Polygon,city,MultiPolygon,"""An enclave, it is surrounded on all sides by the city of Austin.""","Sunset Valley, Texas","Austin, Texas",surrounded by,touches,is surrounded by
village,Polygon,city,MultiPolygon,"""Alamo Heights is an incorporated city that is surrounded by the city of San Antonio in Bexar County in the U.S. state of Texas.""","Alamo Heights, Texas","San Antonio, Texas",surrounded by,touches,is surrounded by
town,Polygon,town,Polygon,"""It is surrounded by the cities of Chino, Ontario, Jurupa Valley, Norco, and Corona.""","Eastvale, California","Jurupa Valley, California",surrounded by,touches,is surrounded by
city,Polygon,city,MultiPolygon,"""West University Place is surrounded by the cities of Bellaire, Houston, and Southside Place.""","West University Place, Texas","Houston, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,MultiPolygon,"""It is surrounded by the cities of Houston and West University Place.""","Bellaire, Texas","Houston, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""The city is surrounded by Waco and is part of the Waco Metropolitan Statistical Area.""","Beverly Hills, Texas","Waco, Texas",surrounded by,touches,is surrounded by
town,Polygon,city,Polygon,"""It is surrounded by the cities of Chino, Ontario, Jurupa Valley, Norco, and Corona.""","Eastvale, California","Ontario, California",surrounded by,touches,is surrounded by
village,Polygon,city,MultiPolygon,"""Leon Valley is an independent municipality surrounded by the city of San Antonio.""","Leon Valley, Texas","San Antonio, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""Located within 5.71 square miles (14.8 km2), and surrounded by the cities of Los Angeles and West Hollywood, it has a population of 32,701 according to the 2020 census.""","Los Angeles, California","West Hollywood, California",surrounded by,touches,is surrounded by
town,Polygon,city,Polygon,"""It is surrounded by the cities of Chino, Ontario, Jurupa Valley, Norco, and Corona.""","Eastvale, California","Chino, California",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""Haltom City is surrounded almost entirely by Fort Worth, North Richland Hills, Watauga, and Richland Hills.""","Haltom City, Texas","North Richland Hills, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""Haltom City is surrounded almost entirely by Fort Worth, North Richland Hills, Watauga, and Richland Hills.""","Haltom City, Texas","Watauga, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""Haltom City is surrounded almost entirely by Fort Worth, North Richland Hills, Watauga, and Richland Hills.""","Haltom City, Texas","Richland Hills, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""It is surrounded by the cities of Houston and West University Place.""","Bellaire, Texas","West University Place, Texas",surrounded by,touches,is surrounded by
city,Polygon,city,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Euless, Texas",surrounded by,touches,is surrounded by
